track_id,genre,year_created,interest
2,Hip-Hop,2008,4656
5,Hip-Hop,2008,1933
10,Pop,2008,54881
140,Folk,2008,1593
141,Folk,2008,839
148,Experimental,2008,2437
182,Rock,2008,5990
190,Folk,2008,1758
193,Folk,2008,1679
194,Folk,2008,1780
197,Folk,2008,2286
200,Folk,2008,1945
203,Folk,2008,1737
204,Folk,2008,1954
207,Folk,2008,2811
210,Folk,2008,3706
211,Folk,2008,16106
212,Folk,2008,2299
213,Pop,2008,2828
255,Rock,2008,5585
256,Rock,2008,2864
368,Rock,2008,3572
424,Experimental,2008,4323
459,Rock,2008,11132
534,Folk,2008,1875
540,Folk,2008,1757
546,Folk,2008,1826
574,Rock,2008,3169
602,Folk,2008,1262
615,Experimental,2008,2016
620,Folk,2008,1853
621,Folk,2008,1252
625,Folk,2008,1625
666,International,2008,2614
667,International,2008,2723
676,Hip-Hop,2008,1747
690,Rock,2008,8125
694,Hip-Hop,2008,7007
695,Hip-Hop,2008,3590
704,International,2008,2181
705,International,2008,3240
706,International,2008,2699
707,International,2008,2170
708,International,2008,4581
709,International,2008,4897
714,Folk,2008,1229
715,Folk,2008,1526
716,Folk,2008,1784
718,Folk,2008,4152
777,Rock,2008,4235
814,Folk,2008,1519
821,Pop,2008,1437
822,Pop,2008,1430
825,Rock,2008,2780
853,International,2008,3512
890,Folk,2008,2341
892,Folk,2008,1579
897,Experimental,2008,2032
993,Rock,2008,3913
995,Experimental,2008,3325
997,Experimental,2008,1930
998,Experimental,2008,1397
1039,Rock,2008,4040
1040,Rock,2008,8613
1066,Experimental,2008,11676
1069,Experimental,2008,7038
1073,Experimental,2008,5179
1075,Experimental,2008,5620
1082,International,2008,4435
1083,Experimental,2008,2587
1087,Rock,2008,10309
1102,Rock,2008,3460
1193,Folk,2008,1730
1195,Folk,2008,1211
1196,Folk,2008,929
1197,Folk,2008,1024
1249,Experimental,2008,1232
1259,Experimental,2008,3547
1270,Rock,2008,3990
1276,Experimental,2008,2335
1277,Experimental,2008,2980
1278,Experimental,2008,3728
1417,Rock,2008,7349
1427,Rock,2008,3016
1443,Experimental,2008,2085
1482,Electronic,2008,93276
1510,Experimental,2008,2199
1544,Folk,2008,3937
1642,Pop,2008,2458
1644,Pop,2008,1476
1649,Pop,2008,1280
1661,Pop,2008,1770
1663,Pop,2008,1363
1666,Pop,2008,1153
1673,Experimental,2008,5929
1680,International,2008,2168
1681,International,2008,1715
1682,International,2008,2850
1683,International,2008,1346
1684,International,2008,4384
1685,International,2008,1264
1686,International,2008,2011
1687,International,2008,1351
1688,International,2008,1052
1689,International,2008,1183
1701,Folk,2008,2486
1702,Folk,2008,2531
1703,Folk,2008,3764
1704,Folk,2008,2573
1706,Rock,2008,3180
1720,Rock,2008,4746
1732,Experimental,2008,2094
1733,Experimental,2008,4162
1735,Experimental,2008,9711
1736,Experimental,2008,2412
1883,Rock,2008,2711
1891,Rock,2008,37395
1893,Folk,2008,1253
1924,Folk,2008,2522
1925,Folk,2008,3073
1929,Experimental,2008,5525
1930,Rock,2008,5116
2012,Experimental,2008,2113
2096,Experimental,2008,1627
2097,Folk,2008,2083
2099,Pop,2008,1931
3263,Folk,2008,2034
3264,Folk,2008,2354
3265,Folk,2008,1880
3266,Folk,2008,1888
3270,Folk,2008,2173
3271,Folk,2008,2055
3272,Folk,2008,2122
3273,Folk,2008,1888
3274,Folk,2008,3574
3492,Rock,2008,4658
3532,Pop,2008,3102
3533,Pop,2008,2595
3534,Pop,2008,2864
3535,Pop,2008,1947
3537,Pop,2008,1863
3538,Pop,2008,1943
3573,Electronic,2008,7512
3598,Folk,2008,3020
3624,Rock,2008,3467
3707,Folk,2008,3731
3708,Folk,2008,2179
3720,Rock,2008,6923
3721,Rock,2008,4980
3722,Rock,2008,9700
3724,Rock,2008,6607
3725,Rock,2008,5345
3761,Rock,2008,8593
3762,Rock,2008,6208
3763,Rock,2008,28410
3765,Rock,2008,4360
3766,Rock,2008,3540
3775,International,2008,5995
3776,International,2008,2776
3777,International,2008,4094
3778,International,2008,5813
3779,International,2008,4636
3832,Folk,2008,4219
3833,Rock,2008,3428
3840,Rock,2008,4680
3880,Folk,2008,5811
3895,International,2008,1191
3896,International,2008,3054
3904,Folk,2008,3017
3905,Folk,2008,3207
3906,Folk,2008,2472
3908,Folk,2008,2368
3909,Folk,2008,2789
3910,Folk,2008,2554
3911,Folk,2008,2320
3912,Folk,2008,1631
3913,Folk,2008,3035
3920,Folk,2008,4528
3921,Folk,2008,3643
3950,Rock,2008,3966
4013,Folk,2008,1204
4017,Folk,2008,1278
4022,Rock,2008,3849
4037,Folk,2008,7324
4066,Folk,2008,2807
4067,Folk,2008,3068
4068,Folk,2008,3729
4069,Folk,2008,4883
4070,International,2008,9179
4071,International,2008,3600
4072,International,2008,3768
4073,International,2008,3087
4074,International,2008,2714
4075,International,2008,2427
4076,International,2008,3506
4077,International,2008,2477
4078,International,2008,2893
4079,International,2008,2006
4080,International,2008,2284
4091,International,2008,5424
4092,International,2008,4429
4093,International,2008,5438
4094,International,2008,3625
4095,International,2008,4146
4096,International,2008,4206
4097,International,2008,3438
4098,International,2008,5155
4099,International,2008,3679
4100,International,2008,7912
4101,International,2008,5923
4102,International,2008,5558
4103,International,2008,7268
4108,Rock,2008,11367
4232,International,2008,8575
4233,International,2008,4564
4234,International,2008,6600
4235,International,2008,5701
4236,International,2008,5435
4239,International,2008,9903
4450,Folk,2008,1769
4507,International,2008,7272
4508,International,2008,6637
4509,International,2008,7029
4510,International,2008,7769
4511,International,2008,9793
4519,Electronic,2008,33081
4520,Electronic,2008,22786
4521,Electronic,2008,24779
4522,Electronic,2008,18880
4682,Hip-Hop,2008,6008
4684,Hip-Hop,2008,2940
4685,Hip-Hop,2008,4317
4688,Hip-Hop,2008,2858
4777,Rock,2008,14024
4778,Rock,2008,8161
4779,Rock,2008,3394
4780,Rock,2008,5502
4781,Rock,2008,4290
4782,Rock,2008,3564
4784,Rock,2008,5982
4785,Rock,2008,4018
4786,Rock,2008,3817
4787,Rock,2008,4360
4788,Rock,2008,5475
4799,Rock,2008,4128
4835,Rock,2008,3180
4836,Rock,2008,3207
4838,Rock,2008,6337
4846,International,2009,3618
4848,International,2009,2655
4849,International,2009,4635
5006,Rock,2009,6494
5156,Folk,2009,5194
5157,Folk,2009,4380
5158,Folk,2009,7412
5159,Folk,2009,3931
5169,Folk,2009,4435
5170,Folk,2009,5191
5171,Folk,2009,4300
5191,Pop,2009,1084
5264,Hip-Hop,2009,2168
5268,Hip-Hop,2009,3623
5376,Folk,2009,832
5381,Folk,2009,972
5521,Experimental,2009,1384
5879,Folk,2009,1543
5936,Folk,2009,3414
5940,Folk,2009,1601
6329,International,2009,1857
6330,International,2009,3692
6331,International,2009,2390
6332,International,2009,2070
6333,International,2009,4154
6342,International,2009,7401
6354,International,2009,3810
6357,International,2009,1532
6358,International,2009,2064
6360,International,2009,8886
6363,International,2009,3644
6366,International,2009,4103
6367,International,2009,3420
6368,International,2009,2615
6370,International,2009,1381
6372,International,2009,4813
6373,International,2009,6194
6376,International,2009,2261
6379,International,2009,4047
6380,International,2009,4450
6381,International,2009,1412
6382,International,2009,1599
6383,International,2009,6200
6385,International,2009,4825
6387,International,2009,2166
6389,International,2009,4120
6390,International,2009,2623
6393,International,2009,2570
6394,International,2009,1717
6396,International,2009,1823
6406,Folk,2009,3530
6407,Folk,2009,1424
6439,Hip-Hop,2009,16123
6440,Hip-Hop,2009,6785
6442,Hip-Hop,2009,3556
6443,Hip-Hop,2009,3663
6448,Hip-Hop,2009,3178
6459,International,2009,2912
6461,Folk,2009,1908
6463,Folk,2009,1456
6467,Folk,2009,1424
6469,International,2009,7938
6517,Rock,2009,3815
6519,Rock,2009,4105
6603,Hip-Hop,2009,3670
6605,Hip-Hop,2009,3499
6606,Hip-Hop,2009,2999
6607,Hip-Hop,2009,3685
6608,Hip-Hop,2009,2947
6609,Hip-Hop,2009,3509
6610,Hip-Hop,2009,2817
6611,Hip-Hop,2009,3594
6674,Experimental,2009,3464
6675,Experimental,2009,3475
6677,Experimental,2009,2601
6679,Experimental,2009,3282
6680,Experimental,2009,3157
6684,Experimental,2009,4407
6762,Folk,2009,4818
6776,Rock,2009,4330
6778,Rock,2009,5022
6779,Folk,2009,2713
6782,Folk,2009,4312
6783,Folk,2009,2408
6788,Rock,2009,3171
6802,International,2009,6553
6803,International,2009,3481
6854,Folk,2009,8372
6855,Folk,2009,5839
6856,Folk,2009,5814
6857,Folk,2009,3725
7011,Electronic,2009,7978
7373,Experimental,2009,4916
7374,Experimental,2009,3806
7375,Experimental,2009,2919
7376,Experimental,2009,1754
7377,Experimental,2009,3339
7378,Experimental,2009,1771
7379,Experimental,2009,2861
7381,Experimental,2009,1273
7383,Experimental,2009,2351
7385,Experimental,2009,16250
7386,Experimental,2009,1482
7388,Experimental,2009,1475
7391,Experimental,2009,34220
7393,Experimental,2009,1350
7481,Hip-Hop,2009,2950
7482,Hip-Hop,2009,3303
7483,Hip-Hop,2009,2671
7487,Hip-Hop,2009,2229
7488,Hip-Hop,2009,3004
7489,Hip-Hop,2009,3592
7490,Hip-Hop,2009,3571
7491,Hip-Hop,2009,3010
7492,Hip-Hop,2009,3722
7495,Rock,2009,3609
7526,Pop,2009,1604
7527,Pop,2009,1705
7528,Pop,2009,1566
7529,Pop,2009,1536
7548,Experimental,2009,1330
7554,Experimental,2009,31351
7709,Folk,2009,1706
7710,Folk,2009,1031
7711,Folk,2009,1105
7712,Folk,2009,1450
7713,Folk,2009,884
7872,Rock,2009,2911
8056,Rock,2009,8986
8208,Rock,2009,5135
8256,Folk,2009,1670
8259,Folk,2009,1363
8261,Folk,2009,1315
8345,Experimental,2009,1625
8357,Experimental,2009,1080
8363,Experimental,2009,1552
8372,Experimental,2009,1479
8416,Experimental,2009,2096
9152,Experimental,2009,3858
9155,Experimental,2009,2318
9307,Experimental,2009,1048
9476,Experimental,2009,1675
9477,Experimental,2009,3327
9491,Rock,2009,2195
9505,Experimental,2009,1422
9511,Rock,2009,7184
9512,International,2009,4203
9513,Rock,2009,11922
9550,Rock,2009,4014
9553,Rock,2009,2967
9555,Rock,2009,4099
9557,Rock,2009,5140
9559,Rock,2009,4277
9560,Rock,2009,4543
9678,Experimental,2009,3009
9721,Experimental,2009,1986
9846,Experimental,2009,2575
9887,Folk,2009,2544
9888,Folk,2009,3763
9918,Experimental,2009,2080
9962,Rock,2009,2883
10186,International,2009,3665
10192,Hip-Hop,2009,2808
10250,Instrumental,2009,7400
10374,Experimental,2009,2679
10375,Experimental,2009,2765
10376,Experimental,2009,2240
10377,Experimental,2009,6104
10381,Folk,2009,2312
10382,Folk,2009,1697
10383,Folk,2009,2284
10384,Folk,2009,2053
10385,Folk,2009,1393
10386,Folk,2009,2491
10387,Folk,2009,1276
10388,Folk,2009,2147
10389,Folk,2009,1489
10435,Experimental,2009,1411
10438,Folk,2009,1379
10439,Folk,2009,1728
10440,Folk,2009,1381
10441,Folk,2009,1389
10442,Folk,2009,1908
10443,Folk,2009,1281
10444,Folk,2009,1117
10447,Folk,2009,1345
10458,Folk,2009,1522
10480,Folk,2009,949
10481,Folk,2009,872
10485,Folk,2009,872
10521,Experimental,2009,11790
10527,Experimental,2009,1938
10535,Experimental,2009,1372
10541,Experimental,2009,4191
10575,Folk,2009,2127
10577,Folk,2009,8883
10668,Rock,2009,9297
10669,Rock,2009,9629
